2026-09-21 15:07:46,AnimateClipper,domain,res.gridstack.cc,#AnimateClipper #ClearFake #ClickFix,https://bazaar.abuse.ch/sample/398c56fb3a7ccf93374eeb367dae6fdaa1e49404c7fa59748bf16d87af39ad4d/
2026-09-22 01:21:00,ClearFake,domain,rockunitedband.com,#ClearFake,https://threatfox.abuse.ch/ioc/1927025/
2026-09-21 12:02:29,ClearFake,domain,rq5ic3bf.usa-lipogummy.com,#ClearFake #mac-0x76c7 #macOS,https://threatfox.abuse.ch/ioc/1926463/
2026-09-21 21:49:17,vSkimmer,domain,rudolfsteinerbookcentre.com.au,#skimming #victim,https://threatfox.abuse.ch/ioc/1926878/
2026-09-21 15:54:30,IClickFix,domain,sejdats.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926595/
2026-09-21 15:54:30,IClickFix,domain,seniorhelpinghandsmi.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926596/
2026-09-21 15:57:01,Vidar,domain,sgn.v-panel.asia,,https://threatfox.abuse.ch/ioc/1926515/
2026-09-21 15:54:30,IClickFix,domain,sicred.com.al,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926597/
2026-09-21 15:54:30,IClickFix,domain,sivasiroll.com.br,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926598/
2026-09-21 15:54:30,IClickFix,domain,skytopsteakhouse.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926599/
2026-09-21 15:54:30,IClickFix,domain,smgjamat.in,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926600/
2026-09-22 08:40:18,AsyncRAT,domain,spongebob.dynuddns.com,#asyncrat,https://bazaar.abuse.ch/sample/d34d1b55201f0318e0fd5a7cd4feacff0edb825e57d45ea9507f1d06303ff97c/
2026-09-21 15:54:30,IClickFix,domain,supermarcadigital.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926601/
2026-09-21 21:34:48,php.shin_webshell,domain,sycutugy.workers.dev,#Cloudflare #gif #PHP #webshell #WordPress #workers.dev #wp-admin,https://threatfox.abuse.ch/ioc/1926855/
2026-09-22 06:05:18,ClearFake,domain,tawoauth.com,#ClearFake #ClickFix #etherhiding,https://threatfox.abuse.ch/ioc/1927214/
2026-09-21 18:30:45,Vidar,domain,tc.1betasia.org,#Vidar,https://threatfox.abuse.ch/ioc/1926768/
2026-09-21 18:35:45,Vidar,domain,tc.hg77.org,#Vidar,https://threatfox.abuse.ch/ioc/1926771/
2026-09-21 15:54:30,IClickFix,domain,techbooking.shop,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926602/
2026-09-21 19:39:09,php.shin_webshell,domain,tgikd90705.workers.dev,#Cloudflare #gif #PHP #webshell #WordPress #workers.dev #wp-admin,https://threatfox.abuse.ch/ioc/1926786/
2026-09-22 09:43:00,ClearFake,domain,th6l7aj0.pasoor.casino,#ClearFake #mac-0x68dc #macOS,https://threatfox.abuse.ch/ioc/1927283/
2026-09-21 15:54:30,IClickFix,domain,thematchtheory.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926603/
2026-09-21 15:54:30,IClickFix,domain,themetabolicclinic.com.sg,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926604/
2026-09-21 21:49:17,vSkimmer,domain,theridgebooks.com,#skimming #victim,https://threatfox.abuse.ch/ioc/1926879/
2026-09-21 15:54:31,IClickFix,domain,thetaxipoint.co.uk,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926605/
2026-09-21 15:54:31,IClickFix,domain,theterracesouthall.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926606/
2026-09-22 06:07:18,ClearFake,domain,thumbinfo.net,#ClearFake #ClickFix #etherhiding,https://threatfox.abuse.ch/ioc/1927224/
2026-09-21 15:54:31,IClickFix,domain,tissuehubco.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926607/
2026-09-22 06:07:16,ClearFake,domain,trackbaseneo.net,#ClearFake #ClickFix #etherhiding,https://threatfox.abuse.ch/ioc/1927218/
2026-09-22 04:59:19,vSkimmer,domain,trainli.com,#skimming #victim,https://threatfox.abuse.ch/ioc/1926980/
2026-09-21 12:06:00,ClearFake,domain,transterminal.ch,#compromised #etherhide,https://threatfox.abuse.ch/ioc/1926465/
2026-09-21 15:54:31,IClickFix,domain,trocandosaberes.com.br,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926608/
2026-09-22 07:04:10,php.shin_webshell,domain,uckvj18869.workers.dev,#Cloudflare #gif #PHP #webshell #WordPress #workers.dev #wp-admin,https://threatfox.abuse.ch/ioc/1927239/
2026-09-21 15:54:31,IClickFix,domain,udef.org.tr,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926609/
2026-09-21 20:55:16,Quasar RAT,domain,update.ddns.net,#quasar,https://bazaar.abuse.ch/sample/50d17d8b9dcc75d7544d7de6ad80b3325d659521ccd819bb89950aa0ab312d24/
2026-09-21 15:54:31,IClickFix,domain,uttarkashi.in,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926610/
2026-09-21 21:49:17,vSkimmer,domain,vagabondbooks.com,#skimming #victim,https://threatfox.abuse.ch/ioc/1926880/
2026-09-22 02:15:28,ClearFake,domain,vbpje3kh.burn--flow.com,#ClearFake #mac-0x0f14 #macOS,https://threatfox.abuse.ch/ioc/1927061/
2026-09-21 15:54:31,IClickFix,domain,verbontours.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926611/
2026-09-22 07:35:05,ClearFake,domain,vuhbq05m.ewagajewskamd.com,#ClearFake #mac-0x68dc #macOS,https://threatfox.abuse.ch/ioc/1927246/
2026-09-21 11:35:10,php.shin_webshell,domain,wgiqn27255.workers.dev,#Cloudflare #gif #PHP #webshell #WordPress #workers.dev #wp-admin,https://threatfox.abuse.ch/ioc/1926462/
2026-09-21 21:49:17,vSkimmer,domain,whitefoxrarebooks.com,#skimming #victim,https://threatfox.abuse.ch/ioc/1926881/
2026-09-21 15:48:48,Unknown Loader,domain,wishcourt.cfd,#OffLoader,https://threatfox.abuse.ch/ioc/1926516/
